Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
1,PRZEDSZKOLE NR 131,Przedszkole,Unused,Unclassified,Warszawa,ul. Sierpecka,9A,,01-589,20.97738741636805,52.2699179,publiczna,109.0,,,
4,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 310,Przedszkole,Unused,Unclassified,Warszawa,ul. Jana Brożka,17,,01-451,20.93820015,52.2417422,publiczna,128.0,,,
6,PRZEDSZKOLE NR 135,Przedszkole,Unused,Unclassified,Warszawa,ul. Emanuela Ringelbluma,1,,01-410,20.950492638647944,52.2447435,publiczna,75.0,,,
8,"PRZEDSZKOLE NR 93 ""BAŚNIOWY DWOREK NA KOLE",Przedszkole,Unused,Unclassified,Warszawa,ul. Jana Brożka,5,,01-451,20.942835758819506,52.24288815,publiczna,95.0,,,
10,PRZEDSZKOLE NR 234,Przedszkole,Unused,Unclassified,Warszawa,ul. Ożarowska,59,,01-416,20.954534447210342,52.2461132,publiczna,73.0,,,
12,PRZEDSZKOLE NR 212,Przedszkole,Unused,Unclassified,Warszawa,ul. Czesława Ludwika Rybińskiego,2,,01-611,20.98641021146732,52.2723527,publiczna,172.0,,,
13,SZKOŁA PODSTAWOWA SPECJALNA NR 302 W OŚRODKU TERAPII DZIECKA W ŚRODOWISKU,Szkoła podstawowa,Ordinary,Elementary,Warszawa,ul. Jana Sobieskiego,93,,00-763,21.0394438,52.1961443,publiczna,9.0,,,
19,SZKOŁA PODSTAWOWA NR 92 IM. JANA BRZECHWY,Szkoła podstawowa,Ordinary,Elementary,Warszawa,ul. Przasnyska,18A,,01-756,20.96462256668724,52.26479435,publiczna,735.0,,,
20,PRZEDSZKOLE NR 269,Przedszkole,Unused,Unclassified,Warszawa,ul. Smocza,22,,01-034,20.984858210762717,52.24760155,publiczna,142.0,,,
21,PRZEDSZKOLE NR 273,Przedszkole,Unused,Unclassified,Warszawa,ul. Jana Olbrachta,28,,01-111,20.94105374014161,52.2376117,publiczna,146.0,,,
23,BRANŻOWA SZKOŁA FOTOTECHNICZNA I STOPNIA,Branżowa szkoła I stopnia,Ordinary,Middle,Warszawa,ul. Spokojna,13,,01-044,20.977386290844052,52.25148795,publiczna,105.0,73.2,120.05,89.13
24,LXXXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. MICHAŁA KONARSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Warszawa,ul. Okopowa,55a,,01-043,20.976764827445482,52.24836835,publiczna,320.0,82.03333333333333,147.4333333333333,103.52666666666666
