symbol,nazwa,typ
A,"ROLNICTWO, LEŚNICTWO, ŁOWIECTWO I RYBACTWO",PKDMainSection
1,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, WŁĄCZAJĄC DZIAŁALNOŚĆ USŁUGOWĄ",PKDMainDivision
2,LEŚNICTWO I POZYSKIWANIE DREWNA,PKDMainDivision
3,RYBACTWO,PKDMainDivision
B,GÓRNICTWO I WYDOBYWANIE,PKDMainSection
5,WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU),PKDMainDivision
6,GÓRNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO,PKDMainDivision
7,GÓRNICTWO RUD METALI,PKDMainDivision
8,POZOSTAŁE GÓRNICTWO I WYDOBYWANIE,PKDMainDivision
9,DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE,PKDMainDivision
C,PRZETWÓRSTWO PRZEMYSŁOWE,PKDMainSection
10,PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH,PKDMainDivision
11,PRODUKCJA NAPOJÓW,PKDMainDivision
12,PRODUKCJA WYROBÓW TYTONIOWYCH,PKDMainDivision
13,PRODUKCJA WYROBÓW TEKSTYLNYCH,PKDMainDivision
14,PRODUKCJA ODZIEŻY,PKDMainDivision
15,PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH,PKDMainDivision
16,"PRODUKCJA WYROBÓW Z DREWNA ORAZ KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA",PKDMainDivision
17,PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU,PKDMainDivision
18,POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI,PKDMainDivision
19,WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ,PKDMainDivision
20,PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH,PKDMainDivision
21,PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH,PKDMainDivision
22,PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH,PKDMainDivision
23,PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH,PKDMainDivision
24,PRODUKCJA METALI,PKDMainDivision
25,"PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ",PKDMainDivision
26,"PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH",PKDMainDivision
27,PRODUKCJA URZĄDZEŃ ELEKTRYCZNYCH,PKDMainDivision
28,"PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA",PKDMainDivision
29,"PRODUKCJA POJAZDÓW SAMOCHODOWYCH, PRZYCZEP I NACZEP, Z WYŁĄCZENIEM MOTOCYKLI",PKDMainDivision
30,PRODUKCJA POZOSTAŁEGO SPRZĘTU TRANSPORTOWEGO,PKDMainDivision
31,PRODUKCJA MEBLI,PKDMainDivision
32,POZOSTAŁA PRODUKCJA WYROBÓW,PKDMainDivision
33,"NAPRAWA, KONSERWACJA I INSTALOWANIE MASZYN I URZĄDZEŃ",PKDMainDivision
D,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",PKDMainSection
35,"WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ, GORĄCĄ WODĘ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH",PKDMainDivision
E,DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ,PKDMainSection
36,"POBÓR, UZDATNIANIE I DOSTARCZANIE WODY",PKDMainDivision
37,ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW,PKDMainDivision
38,"DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, PRZETWARZANIEM I UNIESZKODLIWIANIEM ODPADÓW; ODZYSK SUROWCÓW",PKDMainDivision
39,DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI,PKDMainDivision
F,BUDOWNICTWO,PKDMainSection
41,ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW,PKDMainDivision
42,ROBOTY ZWIĄZANE Z BUDOWĄ OBIEKTÓW INŻYNIERII LĄDOWEJ I WODNEJ,PKDMainDivision
43,ROBOTY BUDOWLANE SPECJALISTYCZNE,PKDMainDivision
G,"HANDEL HURTOWY I DETALICZNY; NAPRAWA POJAZDÓW SAMOCHODOWYCH, WŁĄCZAJĄC MOTOCYKLE",PKDMainSection
45,HANDEL HURTOWY I DETALICZNY POJAZDAMI SAMOCHODOWYMI; NAPRAWA POJAZDÓW SAMOCHODOWYCH,PKDMainDivision
46,"HANDEL HURTOWY, Z WYŁĄCZENIEM HANDLU POJAZDAMI SAMOCHODOWYMI",PKDMainDivision
47,"HANDEL DETALICZNY, Z WYŁĄCZENIEM HANDLU DETALICZNEGO POJAZDAMI SAMOCHODOWYMI",PKDMainDivision
H,TRANSPORT I GOSPODARKA MAGAZYNOWA,PKDMainSection
49,TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY,PKDMainDivision
50,TRANSPORT WODNY,PKDMainDivision
51,TRANSPORT LOTNICZY,PKDMainDivision
52,MAGAZYNOWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT,PKDMainDivision
53,DZIAŁALNOŚĆ POCZTOWA I KURIERSKA,PKDMainDivision
I,DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI,PKDMainSection
55,ZAKWATEROWANIE,PKDMainDivision
56,DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM,PKDMainDivision
J,INFORMACJA I KOMUNIKACJA,PKDMainSection
58,DZIAŁALNOŚĆ WYDAWNICZA,PKDMainDivision
59,"DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH",PKDMainDivision
